"timp","frecventa","tip","year","month","dens"
2006-02-07,12.0934869038742,"Landsat","2006","02",0.0791198335601814
2006-02-15,0.669198700239938,"Landsat","2006","02",0.00437813264301068
2006-02-23,51.222292198735,"Landsat","2006","02",0.335114203665827
2006-04-04,7.81131069442888,"Landsat","2006","04",0.0511043346672904
2006-05-14,6.04133422456794,"Landsat","2006","05",0.0395245277171564
2006-05-22,0.253074566199284,"Landsat","2006","05",0.00165570258728175
2006-06-15,54.6076957850528,"Landsat","2006","06",0.357262701482258
2006-07-09,1.52501574471538,"Landsat","2006","07",0.00997718795725355
2006-07-25,0.483353102771456,"Landsat","2006","07",0.00316226555219767
2006-08-10,3.87725690352643,"Landsat","2006","08",0.0253663747532403
2006-08-18,5.71407596873467,"Landsat","2006","08",0.0373834894096333
2006-09-03,8.38816615600985,"Landsat","2006","09",0.0548783254502089
2006-09-11,5.96792328170097,"Landsat","2006","09",0.0390442475773343
2006-10-13,39.4730639795686,"Landsat","2006","10",0.25824663118239
2006-11-14,57.3277644049657,"Landsat","2006","11",0.375058344557775
2007-01-01,75.4428804908488,"Landsat","2007","01",0.493573788534424
2007-01-17,20.3931735550601,"Landsat","2007","01",0.133419295052394
2007-02-02,15.1524049811257,"Landsat","2007","02",0.0991323486495091
2007-02-10,8.36846111345082,"Landsat","2007","02",0.0547494081495198
2007-03-06,2.49172195025829,"Landsat","2007","03",0.0163017190616489
2007-03-14,7.11004300335758,"Landsat","2007","03",0.0465163954368837
2007-03-30,7.98208772994046,"Landsat","2007","03",0.0522216179399293
2007-05-09,1.50646982230688,"Landsat","2007","05",0.00985585402719321
2007-06-10,36.2491644675582,"Landsat","2007","06",0.237154749673568
2007-06-18,2.96812033212656,"Landsat","2007","06",0.0194184843900739
2007-06-26,12.7267528794476,"Landsat","2007","06",0.0832628817137002
2007-07-20,3.61259113582184,"Landsat","2007","07",0.0236348384596708
2007-07-28,0,"Landsat","2007","07",0
2007-08-05,97.3162504781371,"Landsat","2007","08",0.636677047879759
2007-08-13,43.4890289277752,"Landsat","2007","08",0.284520482620874
2007-09-14,12.8024820626157,"Landsat","2007","09",0.0837583285947799
2007-09-22,6.12594999555671,"Landsat","2007","09",0.0400781137730568
2007-09-30,0.316053427711472,"Landsat","2007","09",0.002067732391445
2007-10-08,6.77776189353868,"Landsat","2007","10",0.0443424958566359
2007-11-09,44.916678579846,"Landsat","2007","11",0.29386066744531
2008-03-16,2.28423944331323,"Landsat","2008","03",0.0149442957190988
2008-04-17,67.6319561698034,"Landsat","2008","04",0.442471981657343
2008-04-25,5.03019507992133,"Landsat","2008","04",0.0329093007386582
2008-05-27,1.06407229818752,"Landsat","2008","05",0.00696153423721213
2008-06-04,5.35899882928865,"Landsat","2008","06",0.0350604502070197
2008-06-12,0.0386373383510357,"Landsat","2008","06",0.000252779020959046
2008-07-06,72.8155414829783,"Landsat","2008","07",0.476384815109209
2008-07-14,76.9083947345035,"Landsat","2008","07",0.5031616967994
2008-08-07,69.3980689058292,"Landsat","2008","08",0.454026510705381
2008-08-23,3.75439016757014,"Landsat","2008","08",0.0245625374665905
2008-08-31,66.6432266814004,"Landsat","2008","08",0.436003366511001
2008-09-08,29.37790021521,"Landsat","2008","09",0.192200528586211
2008-09-24,65.6564290599149,"Landsat","2008","09",0.429547390315707
2008-10-10,14.8413744073998,"Landsat","2008","10",0.0970974775307888
2008-11-11,95.3272002998257,"Landsat","2008","11",0.623663983880787
2008-11-27,8.50755553151454,"Landsat","2008","11",0.0556594126249724
2009-02-07,47.1831448475177,"Landsat","2009","02",0.308688684814768
2009-03-03,1.92066208942998,"Landsat","2009","03",0.0125656451318742
2009-03-11,0,"Landsat","2009","03",0
2009-04-04,6.94583431536568,"Landsat","2009","04",0.0454420845978077
2009-04-12,65.8812983691179,"Landsat","2009","04",0.431018564217689
2009-04-20,4.55997867218923,"Landsat","2009","04",0.0298329800535866
2009-04-28,0,"Landsat","2009","04",0
2009-05-06,97.5755070184725,"Landsat","2009","05",0.638373195110394
2009-05-14,0,"Landsat","2009","05",0
2009-05-22,8.10959094649888,"Landsat","2009","05",0.0530557887090942
2009-06-07,89.9774744317413,"Landsat","2009","06",0.588664200638798
2009-07-01,7.78735554465124,"Landsat","2009","07",0.0509476116742958
2009-07-17,0,"Landsat","2009","07",0
2009-07-25,2.53422302244443,"Landsat","2009","07",0.0165797759847038
2009-08-02,0,"Landsat","2009","08",0
2009-08-10,57.1732150515615,"Landsat","2009","08",0.374047228473939
2009-08-18,0,"Landsat","2009","08",0
2009-08-26,16.0874285692207,"Landsat","2009","08",0.105249600956718
2009-09-03,47.4435605080037,"Landsat","2009","09",0.310392415416032
2009-09-11,3.04075852822651,"Landsat","2009","09",0.0198937089494769
2009-10-05,1.13439225398641,"Landsat","2009","10",0.00742159205535759
2009-10-21,89.3094348516519,"Landsat","2009","10",0.584293651366416
2009-10-29,4.86560001854592,"Landsat","2009","10",0.0318324621093727
2009-11-22,12.7611401105801,"Landsat","2009","11",0.0834878550423538
2010-01-25,1.71008859541684,"Landsat","2010","01",0.0111879994676474
2010-02-02,7.37470877106218,"Landsat","2010","02",0.0482479317304531
2010-02-10,91.0593199055703,"Landsat","2010","02",0.595742013225651
2010-02-26,0.501512651796443,"Landsat","2010","02",0.00328107169204842
2010-03-14,49.1864908410189,"Landsat","2010","03",0.321795277051494
2010-04-23,3.72850315087494,"Landsat","2010","04",0.024393175522548
2010-05-01,0.415351387273634,"Landsat","2010","05",0.00271737447530975
2010-06-10,5.13219765316807,"Landsat","2010","06",0.0335766373539901
2010-07-12,43.6439646545629,"Landsat","2010","07",0.285534126494919
2010-07-20,1.15718828361352,"Landsat","2010","07",0.00757073167772343
2010-07-28,52.4950061240181,"Landsat","2010","07",0.343440744616218
2010-08-13,1.07257251262475,"Landsat","2010","08",0.00701714562182312
2010-08-21,69.6604164332328,"Landsat","2010","08",0.455742880257693
2010-09-14,97.3885023008535,"Landsat","2010","09",0.637149744648953
2010-09-22,0.0386373383510357,"Landsat","2010","09",0.000252779020959046
